sex,age,age_cat,race,juv_fel_count,g_decile_score,juv_misd_count,juv_other_count,c_jail_days,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score,score_text,v_decile_score,v_score_text,priors_count,start,end,event,two_year_recid
Male,69,Greater than 45,Other,0,1,0,0,1,1,F,0,0,1,Low,1,Low,0,0,327,0,0
Male,34,25 - 45,African-American,0,3,0,0,10,1,F,1,1,3,Low,1,Low,0,9,159,1,1
Male,24,Less than 25,African-American,0,4,0,1,1,1,F,1,0,4,Low,3,Low,4,0,63,0,1
Male,23,Less than 25,African-American,0,8,1,0,0,1,F,0,0,8,High,6,Medium,1,0,1174,0,0
Male,43,25 - 45,Other,0,1,0,0,0,76,F,0,0,1,Low,1,Low,2,0,1102,0,0
Male,44,25 - 45,Other,0,1,0,0,1,0,M,0,0,1,Low,1,Low,0,1,853,0,0
Male,41,25 - 45,Caucasian,0,6,0,0,6,1,F,1,0,6,Medium,2,Low,14,5,40,1,1
Male,43,25 - 45,Other,0,4,0,0,1,1,F,0,0,4,Low,3,Low,3,0,265,0,0
Female,39,25 - 45,Caucasian,0,1,0,0,3,1,M,0,0,1,Low,1,Low,0,2,747,0,0
Male,21,Less than 25,Caucasian,0,3,0,0,1,308,F,1,1,3,Low,5,Medium,1,0,428,1,1
Male,27,25 - 45,Caucasian,0,4,0,0,1,1,F,0,0,4,Low,4,Low,0,0,857,0,0
Male,23,Less than 25,African-American,0,6,0,0,4,0,M,1,0,6,Medium,4,Low,3,4,128,1,1
Female,37,25 - 45,Caucasian,0,1,0,0,1,0,M,0,0,1,Low,1,Low,0,1,1186,0,0
Male,41,25 - 45,African-American,0,4,0,0,1,1,F,0,0,4,Low,2,Low,0,0,905,0,0
Female,47,Greater than 45,Caucasian,0,1,0,0,14,490,F,1,0,1,Low,1,Low,1,0,216,1,1
Male,31,25 - 45,African-American,0,3,0,0,3,71,F,1,0,3,Low,2,Low,7,0,22,1,1
Male,37,25 - 45,Hispanic,0,1,0,0,0,0,M,0,0,1,Low,1,Low,0,0,739,0,0
Male,25,25 - 45,African-American,0,10,0,0,1,1,F,0,0,10,High,9,High,3,0,463,0,0
Male,31,25 - 45,Caucasian,0,5,0,0,1,1,F,1,1,5,Medium,4,Low,6,0,241,1,1
Male,31,25 - 45,Caucasian,0,3,0,0,1,1,F,1,0,3,Low,2,Low,5,0,163,1,1
Male,64,Greater than 45,African-American,0,6,0,0,1,1,F,1,0,6,Medium,3,Low,13,0,1,1,1
Male,21,Less than 25,African-American,0,9,0,0,3,1,F,1,0,9,High,9,High,1,2,30,1,1
Male,27,25 - 45,Caucasian,0,2,0,0,0,0,M,1,0,2,Low,3,Low,0,0,81,1,1
Female,21,Less than 25,Caucasian,0,4,0,0,1,2,F,0,0,4,Low,5,Medium,0,0,861,0,0
Male,24,Less than 25,Hispanic,0,4,0,0,1,1,F,1,0,4,Low,5,Medium,1,1,411,1,1
Male,43,25 - 45,Caucasian,0,1,0,0,1,1,M,0,0,1,Low,2,Low,1,0,1162,0,0
Male,32,25 - 45,Other,0,3,0,0,2,1,M,0,0,3,Low,4,Low,0,1,1056,0,0
Male,27,25 - 45,African-American,0,3,0,0,17,1,F,1,1,3,Low,3,Low,8,16,116,0,1
Female,36,25 - 45,Caucasian,0,3,0,0,1,95,F,0,0,3,Low,1,Low,3,0,53,0,0
Male,26,25 - 45,African-American,0,7,0,1,1,1,F,1,0,7,Medium,7,Medium,5,0,391,0,1
Male,33,25 - 45,African-American,0,10,0,0,38,1,F,1,1,10,High,6,Medium,0,38,215,0,1
Male,30,25 - 45,Caucasian,0,9,0,0,44,0,F,1,0,9,High,10,High,9,44,162,1,1
Male,32,25 - 45,African-American,0,8,0,0,1,1,F,1,0,8,High,3,Low,4,0,6,1,1
Male,55,Greater than 45,Caucasian,0,1,0,0,2,1,F,0,0,1,Low,1,Low,0,1,823,0,0
Male,49,Greater than 45,Other,0,3,0,0,4,0,F,1,0,3,Low,2,Low,7,3,502,0,1
Male,26,25 - 45,Caucasian,0,8,0,2,12,382,M,0,0,8,High,8,High,6,0,81,0,0
Female,33,25 - 45,Caucasian,0,5,0,0,11,1,M,1,0,5,Medium,2,Low,4,10,223,1,1
Male,24,Less than 25,Caucasian,0,2,0,0,1,0,M,1,0,2,Low,3,Low,1,1,240,1,1
Male,34,25 - 45,African-American,2,9,1,3,33,0,F,1,0,9,High,6,Medium,21,33,514,1,1
Male,29,25 - 45,Caucasian,0,2,0,0,0,1,M,0,0,2,Low,2,Low,0,0,1171,0,0
Female,21,Less than 25,African-American,0,8,0,0,80,1,F,0,0,8,High,8,High,2,79,524,0,0
Male,51,Greater than 45,African-American,0,1,0,0,1,1,M,0,0,1,Low,1,Low,2,0,1128,0,0
Male,29,25 - 45,Caucasian,0,2,0,0,1,1,M,1,0,2,Low,2,Low,2,0,72,1,1
Female,51,Greater than 45,African-American,0,2,0,0,2,1,F,0,0,2,Low,2,Low,7,1,529,0,0
Male,29,25 - 45,African-American,0,7,0,0,0,0,F,1,0,7,Medium,2,Low,0,0,61,1,1
Male,25,25 - 45,Caucasian,0,10,0,0,7,1,M,1,1,10,High,9,High,9,6,8,1,1
Male,35,25 - 45,African-American,1,8,0,4,1,1,F,1,1,8,High,3,Low,13,0,9,1,1
Male,49,Greater than 45,Caucasian,0,1,0,0,0,0,M,0,0,1,Low,1,Low,0,0,973,0,0
Male,34,25 - 45,African-American,0,3,0,0,51,59,M,1,0,3,Low,2,Low,4,0,257,1,1
Male,29,25 - 45,African-American,0,4,0,0,0,1,F,0,0,4,Low,3,Low,0,0,1073,0,0
Male,29,25 - 45,Caucasian,0,2,0,0,0,24,F,1,0,2,Low,2,Low,1,0,441,0,1
Female,28,25 - 45,Other,0,2,0,0,1,1,F,0,0,2,Low,2,Low,0,0,865,0,0
Male,48,Greater than 45,Caucasian,0,6,0,0,11,562,F,1,0,6,Medium,4,Low,20,0,275,1,1
Female,63,Greater than 45,Hispanic,0,1,0,0,8,219,F,0,0,1,Low,1,Low,1,0,800,0,0
Male,31,25 - 45,African-American,0,5,0,1,136,1,F,1,0,5,Medium,7,Medium,15,135,1077,1,0
Male,24,Less than 25,African-American,0,4,0,0,2,1,F,1,0,4,Low,4,Low,2,1,575,1,1
Male,30,25 - 45,Hispanic,0,7,0,0,23,0,M,0,0,7,Medium,3,Low,0,23,1167,0,0
Male,49,Greater than 45,African-American,0,1,0,0,1,1,M,0,0,1,Low,1,Low,4,0,948,0,0
Male,53,Greater than 45,Caucasian,0,5,0,0,13,13,F,0,0,5,Medium,2,Low,8,0,1039,0,0
Male,35,25 - 45,African-American,0,3,0,0,1,1,F,0,0,3,Low,2,Low,5,0,1145,0,0
Male,63,Greater than 45,African-American,0,7,0,0,36,906,M,1,0,7,Medium,5,Medium,10,0,44,1,1
Male,27,25 - 45,African-American,1,10,1,2,1,1,F,1,0,10,High,9,High,15,0,44,1,1
Male,38,25 - 45,Caucasian,0,2,0,0,2,1,M,1,0,2,Low,2,Low,4,1,272,1,1
Male,22,Less than 25,African-American,0,4,0,1,1,1,F,1,0,4,Low,6,Medium,1,0,371,1,1
Male,22,Less than 25,African-American,0,10,1,2,124,114,F,1,0,10,High,9,High,2,0,70,0,1
Male,29,25 - 45,African-American,0,9,0,0,19,1,F,1,0,9,High,5,Medium,4,18,69,0,1
Male,62,Greater than 45,Hispanic,0,1,0,0,0,1,M,0,0,1,Low,1,Low,0,0,1179,0,0
Male,27,25 - 45,African-American,0,6,1,0,30,0,F,1,0,6,Medium,3,Low,6,30,193,1,1
Male,33,25 - 45,Other,0,1,0,0,1,1,M,0,0,1,Low,1,Low,0,0,754,0,0
Female,56,Greater than 45,African-American,0,1,0,0,3,1,M,0,0,1,Low,1,Low,0,3,916,0,0
Male,45,Greater than 45,Hispanic,0,1,0,0,242,1,F,1,1,1,Low,1,Low,6,241,323,1,1
Male,22,Less than 25,Hispanic,0,4,0,0,1,1,F,0,0,4,Low,6,Medium,1,0,1042,0,0
Male,39,25 - 45,African-American,0,4,0,0,5,1,M,0,0,4,Low,2,Low,1,4,1121,0,0
Male,29,25 - 45,African-American,0,6,0,0,1,0,F,1,0,6,Medium,3,Low,5,1,253,1,1
Male,27,25 - 45,Caucasian,0,6,0,1,14,1,F,1,0,6,Medium,3,Low,1,13,273,0,1
Male,40,25 - 45,African-American,0,2,0,0,3,15,F,0,0,2,Low,1,Low,2,0,989,0,0
Male,22,Less than 25,African-American,0,3,0,0,17,1,M,1,0,3,Low,3,Low,1,17,256,0,1
Male,22,Less than 25,Caucasian,0,8,0,0,58,1,F,0,0,8,High,6,Medium,0,57,73,0,0
Female,26,25 - 45,African-American,0,4,0,0,2,1,F,1,1,4,Low,3,Low,1,1,11,1,1
Male,27,25 - 45,Caucasian,0,7,0,0,19,44,F,1,1,7,Medium,8,High,1,0,258,1,1
Male,32,25 - 45,African-American,0,2,0,0,1,1,F,0,0,2,Low,1,Low,0,0,1124,0,0
Male,41,25 - 45,African-American,0,2,0,0,2,5185,M,0,0,2,Low,2,Low,1,1,1128,0,0
Male,30,25 - 45,African-American,0,10,0,0,1,1,M,1,1,10,High,9,High,8,0,55,1,1
Male,50,Greater than 45,Other,0,1,0,0,1,1,F,1,0,1,Low,2,Low,0,0,182,1,1
Male,25,25 - 45,African-American,1,10,6,1,7,1,F,1,1,10,High,10,High,14,6,100,1,1
